video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P13_Med_Front_1,74,0,1376.87,551.871,0.199403,1376.95,576.809,0.98817,1389.33,576.786,0.831587,1405.9,605.789,0.797444,1409.93,630.731,0.747512,1372.62,576.903,0.886256,1352.11,609.721,0.674684,1348.01,630.654,0.683917,1380.95,638.773,0.870466,1381.18,638.779,0.859453,1385.11,676.316,0.874762,1376.74,713.475,0.874596,1376.97,634.862,0.841695,1377.05,676.193,0.857716,1372.85,713.381,0.846572,1376.96,547.831,0.195189,1376.72,551.969,0.125598,1377.04,547.972,0.686522,1372.79,551.815,0.499762,1381.0,717.633,0.49535,1377.02,713.591,0.490218,1372.74,713.642,0.645461,1385.12,721.795,0.593068,1381.0,721.844,0.607907,1372.76,717.73,0.77866,137.267588384877
P13_Med_Front_1,75,0,1376.73,547.815,0.0639583,1376.91,576.831,0.980675,1401.67,576.797,0.86937,1409.95,605.821,0.897299,1410.25,634.842,0.864288,1368.42,576.898,0.917935,1347.99,609.828,0.806036,1347.86,634.683,0.807743,1377.12,638.831,0.888595,1393.46,638.817,0.838594,1389.27,680.203,0.866757,1376.9,713.771,0.877088,1372.87,638.783,0.905396,1376.68,676.188,0.858866,1372.74,713.516,0.865377,0.0,0.0,0.0,0.0,0.0,0.0,1381.07,547.886,0.690122,1372.57,551.868,0.599968,1380.96,717.79,0.463804,1376.82,713.716,0.46044,1372.63,717.701,0.653559,1389.31,725.976,0.584501,1385.27,726.02,0.601717,1376.7,725.945,0.794488,139.19565214474187
P13_Med_Front_1,76,0,0.0,0.0,0.0,1376.86,576.835,0.988526,1401.61,576.868,0.877934,1406.1,609.7,0.919369,1410.22,634.829,0.875382,1364.48,576.862,0.911766,1347.93,609.75,0.811269,1347.82,634.784,0.812149,1377.04,638.791,0.891411,1389.34,638.787,0.834116,1385.21,680.2,0.877407,1376.82,713.744,0.883917,1372.81,634.846,0.8955,1372.92,676.233,0.86002,1372.68,713.472,0.850143,0.0,0.0,0.0,0.0,0.0,0.0,1381.09,547.943,0.696482,1372.57,551.903,0.544035,1377.02,717.709,0.457981,1376.74,713.637,0.456376,1372.55,717.627,0.647886,1389.26,725.958,0.617824,1385.19,726.03,0.633521,1372.83,721.956,0.801641,139.10278025977766
P13_Med_Front_1,77,0,0.0,0.0,0.0,1376.96,576.907,0.987296,1401.78,576.93,0.896069,1409.93,609.764,0.933502,1414.14,634.808,0.861672,1368.47,576.946,0.929867,1351.98,609.875,0.807806,1347.88,638.808,0.814431,1377.08,638.91,0.912683,1393.43,638.908,0.851069,1385.26,680.311,0.879176,1376.92,717.767,0.883501,1372.81,638.859,0.929403,1372.89,676.297,0.86497,1372.69,713.617,0.856163,0.0,0.0,0.0,0.0,0.0,0.0,1385.16,551.793,0.653769,1372.64,551.913,0.552658,1376.89,721.801,0.503645,1372.82,717.637,0.49093,1372.6,717.82,0.637808,1385.23,730.189,0.597243,1385.23,730.157,0.618265,1376.72,730.083,0.819375,143.0142656136094
P13_Med_Front_1,78,0,1376.89,547.995,0.109521,1376.91,576.886,0.983774,1401.58,576.887,0.863507,1406.08,609.689,0.902669,1414.1,634.717,0.831631,1368.54,576.939,0.921649,1347.99,609.849,0.790076,1347.8,634.783,0.772934,1377.07,638.893,0.919068,1385.26,638.873,0.861959,1381.11,680.299,0.908231,1376.75,717.753,0.889101,1372.92,638.877,0.920811,1376.85,676.399,0.88062,1372.74,713.652,0.863742,1377.12,547.787,0.105116,1376.7,551.9,0.0516869,1381.01,551.882,0.677574,1372.69,551.971,0.47875,1377.02,721.866,0.53266,1376.84,717.71,0.508954,1372.66,717.846,0.641859,1381.19,734.239,0.62133,1381.15,734.235,0.642159,1372.76,726.042,0.835044,143.0376134308736
P13_Med_Front_1,79,0,1376.83,555.97,0.740017,1377.01,576.895,0.995839,1368.5,576.916,0.917276,1347.93,609.766,0.877626,1343.85,634.755,0.900202,1401.77,576.875,0.923416,1410.12,609.724,0.930344,1414.29,638.819,0.873271,1380.95,642.841,0.919832,1372.82,639.014,0.952193,1372.81,680.309,0.924852,1372.67,713.777,0.870748,1397.59,642.887,0.88455,1389.28,680.306,0.863953,1376.93,713.768,0.888075,1372.94,551.871,0.685873,1377.0,551.827,0.709355,1372.74,551.908,0.523917,1381.15,551.972,0.633492,1381.11,738.346,0.649749,1389.31,734.195,0.631944,1376.79,721.802,0.655185,1376.87,738.267,0.703826,1372.72,734.189,0.696661,1372.57,721.781,0.755341,136.92451285653712
P13_Med_Front_1,80,0,1376.79,556.071,0.666112,1376.96,576.934,1.01461,1368.47,576.949,0.919081,1347.84,609.799,0.889632,1343.83,634.816,0.906619,1401.69,576.914,0.919236,1410.14,609.819,0.948924,1414.32,638.828,0.866738,1377.09,642.958,0.951953,1372.79,642.927,0.975732,1372.82,680.398,0.905148,1372.75,713.727,0.838396,1397.52,643.005,0.905324,1385.15,680.46,0.864763,1376.92,717.636,0.870868,1376.67,551.956,0.5818,1376.93,551.934,0.626486,1372.77,551.954,0.484934,1381.03,552.022,0.624132,1377.04,734.349,0.638974,1381.11,730.19,0.62514,1376.85,721.879,0.679465,1376.76,734.23,0.594915,1372.72,726.002,0.599882,1372.67,717.823,0.70914,136.84494760129073
P13_Med_Front_1,81,0,1376.91,556.121,0.778521,1376.97,580.831,1.00856,1364.51,580.862,0.923647,1347.87,609.971,0.926871,1343.84,634.719,0.912212,1405.67,580.814,0.944342,1410.17,609.919,0.962176,1414.32,638.88,0.89628,1377.06,643.054,0.982589,1372.69,643.026,0.999214,1372.69,680.383,0.922491,1372.71,713.606,0.872878,1397.57,643.098,0.933256,1385.23,680.413,0.870842,1376.96,713.714,0.888322,1376.69,551.958,0.774254,1377.11,551.961,0.756686,1372.7,556.011,0.604617,1385.18,556.102,0.609579,1381.02,738.271,0.658244,1385.23,730.082,0.645504,1376.87,717.787,0.667372,1376.81,734.211,0.653526,1372.69,726.016,0.659721,1372.63,717.694,0.747186,132.9970282976278
P13_Med_Front_1,82,0,1376.77,564.292,0.669178,1376.93,580.906,1.01785,1368.4,580.908,0.928961,1347.8,610.035,0.929028,1343.74,630.723,0.907879,1401.75,580.95,0.927183,1410.13,610.034,0.965121,1414.33,638.999,0.885047,1376.98,643.181,0.994679,1372.63,643.156,0.999416,1372.62,680.497,0.883314,1372.71,713.721,0.836759,1393.48,643.225,0.928493,1381.07,684.47,0.86214,1376.89,717.724,0.873698,1376.66,556.097,0.575152,1376.92,556.105,0.632849,1372.76,560.113,0.454272,1381.07,560.204,0.608604,1377.01,738.278,0.658976,1381.07,730.175,0.652308,1376.84,721.932,0.676902,1376.73,734.239,0.589644,1372.68,725.999,0.599119,1372.64,717.81,0.695952,132.88291488750536
P13_Med_Front_1,83,0,1376.81,564.393,0.721569,1376.93,581.016,1.0039,1364.48,581.002,0.923736,1347.77,610.101,0.939581,1343.79,634.762,0.921933,1405.67,581.082,0.931231,1410.15,610.101,0.96105,1414.35,642.872,0.895754,1377.0,647.03,0.994608,1372.58,643.294,0.995919,1372.55,684.5,0.873837,1372.7,717.69,0.845799,1397.53,647.058,0.937499,1381.11,684.684,0.852454,1376.94,721.807,0.840558,1376.66,560.144,0.647857,1376.97,560.123,0.679551,1372.73,560.235,0.508087,1381.13,564.29,0.609974,1377.05,738.398,0.646671,1381.16,734.34,0.631393,1376.87,730.087,0.652454,1376.73,738.303,0.628535,1372.66,730.188,0.622415,1372.65,721.851,0.719331,136.93493982180016
P13_Med_Front_1,84,0,1376.8,568.45,0.685171,1376.95,581.058,0.995696,1364.5,581.036,0.91838,1343.95,613.88,0.943712,1343.75,638.852,0.939555,1405.66,581.135,0.923416,1410.1,613.933,0.954002,1414.29,642.907,0.89105,1376.95,647.069,0.988797,1372.56,647.049,0.979218,1372.61,684.495,0.859185,1372.73,717.709,0.840059,1393.45,647.096,0.925065,1381.03,684.674,0.854926,1376.92,717.882,0.851938,1376.68,564.241,0.600489,1376.95,560.246,0.628028,1372.78,564.283,0.488265,1381.08,564.344,0.596298,1380.95,738.38,0.663522,1381.14,734.31,0.646943,1376.84,730.081,0.65517,1376.78,738.316,0.632021,1372.71,730.206,0.625957,1372.66,721.894,0.710992,136.9205675893874
