video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P13_Med_Front_2,1,0,1377.02,535.182,0.438384,1376.94,547.819,0.961998,1372.88,547.777,0.871387,1368.6,576.63,0.72457,1364.49,585.013,0.61093,1381.0,547.819,0.8424,1393.43,576.586,0.602866,1397.58,580.918,0.492337,1377.07,605.606,0.870841,1376.91,605.645,0.917162,1377.01,638.97,0.870643,1376.84,663.882,0.797487,1381.07,601.641,0.82346,1381.01,638.932,0.84114,1376.94,663.873,0.777277,1376.94,526.944,0.434713,1377.06,526.961,0.343537,1376.82,531.121,0.592835,1377.07,535.194,0.358659,1380.99,676.067,0.621897,1381.1,672.174,0.588853,1376.83,672.035,0.662275,1376.95,672.154,0.629832,1376.91,672.154,0.621884,1376.77,672.115,0.700615
P13_Med_Front_2,1,1,1837.11,576.883,0.626196,1853.59,605.681,0.847913,1779.07,605.783,0.677701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.26,659.605,0.890345,1841.3,655.617,0.871886,1857.71,709.22,0.858553,1865.95,742.61,0.866656,1837.14,655.572,0.836084,1841.06,709.248,0.916537,1816.39,742.527,0.815675,1837.23,576.709,0.299347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1824.55,746.706,0.648478,1816.33,746.597,0.684159,1816.29,742.667,0.747948,1870.18,750.793,0.614746,1870.08,746.858,0.657347,1857.82,746.747,0.795521
P13_Med_Front_2,1,2,1775.12,581.059,0.689121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.96,605.771,0.840117,1870.18,634.728,0.73759,1874.35,659.607,0.717943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.14,580.953,0.279621,1837.12,576.753,0.588606,0.0,0.0,0.0,1866.05,576.858,0.771402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13_Med_Front_2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.19,605.731,0.807277,1803.92,626.457,0.718816,1774.78,642.894,0.784381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.94,580.869,0.69621,0.0,0.0,0.0,1807.93,580.871,0.756333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13_Med_Front_2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1841.3,597.542,0.81419,1837.01,622.422,0.596716,1779.09,638.942,0.564822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.69,580.747,0.225077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13_Med_Front_2,2,0,1376.81,539.434,0.119452,1376.94,547.875,0.93721,1389.4,547.933,0.799431,1401.61,576.662,0.7198,1397.58,585.024,0.425416,1372.63,547.842,0.908136,1368.47,576.775,0.75186,1368.41,585.013,0.555748,1376.99,601.498,0.910558,1381.12,601.547,0.858598,1381.07,634.71,0.820045,1377.04,655.532,0.795415,1372.97,597.483,0.90503,1376.64,634.674,0.849322,1372.95,655.448,0.798939,1377.03,531.097,0.0712576,1376.7,539.362,0.095905,1381.0,535.255,0.389835,1372.89,535.364,0.442367,1376.81,667.974,0.601281,1376.84,667.928,0.564716,1372.9,667.907,0.656678,1377.04,663.887,0.599304,1380.94,667.891,0.572826,1376.93,667.978,0.676746
P13_Med_Front_2,2,1,1774.92,581.003,0.641074,1853.63,601.546,0.846688,1870.28,601.538,0.892721,1874.37,630.645,0.826785,1878.56,655.561,0.775649,1832.97,597.565,0.897707,1803.88,622.343,0.817879,1774.84,639.013,0.767124,1845.3,655.462,0.897219,1865.92,655.578,0.878838,1866.09,705.15,0.850282,1866.1,742.551,0.88445,1836.94,651.486,0.927609,1837.09,705.187,0.924011,1816.25,742.491,0.84373,1774.79,580.875,0.236578,1775.16,580.807,0.698708,1870.26,580.812,0.567875,1803.83,580.898,0.74885,1816.34,746.619,0.628902,1808.05,746.536,0.670423,1816.29,746.579,0.783154,1870.08,746.949,0.630544,1870.21,746.839,0.666954,1861.92,746.761,0.788632
P13_Med_Front_2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1779.19,609.645,0.561206,1774.81,618.365,0.298478,1770.85,634.788,0.270195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13_Med_Front_2,3,0,1376.82,535.282,0.13925,1376.92,547.824,0.94747,1389.33,547.867,0.817935,1401.59,576.642,0.737767,1397.53,585.022,0.48992,1372.59,547.79,0.904429,1364.44,576.809,0.731907,1364.46,589.223,0.544999,1376.98,601.554,0.907376,1381.07,601.596,0.870554,1381.02,634.787,0.843554,1376.98,655.596,0.803928,1372.96,601.528,0.887488,1376.67,634.736,0.845623,1372.92,655.508,0.80165,1377.06,526.955,0.106722,1376.69,535.334,0.103681,1377.11,531.123,0.478062,1372.85,535.205,0.449612,1376.8,668.027,0.59896,1376.84,667.97,0.570787,1372.86,667.962,0.652769,1376.99,667.943,0.597813,1377.06,667.98,0.579375,1376.88,668.008,0.689924
P13_Med_Front_2,3,1,0.0,0.0,0.0,1861.83,601.63,0.8571,1870.44,601.581,0.888023,1878.5,626.555,0.800705,1882.73,655.486,0.766233,1836.99,601.615,0.914002,1807.97,622.372,0.811256,1775.04,638.85,0.6902,1849.49,655.573,0.873137,1870.0,659.65,0.909779,1870.0,709.219,0.882615,1866.1,742.582,0.875161,1837.12,655.452,0.914567,1837.22,705.291,0.93392,1820.42,742.484,0.814475,0.0,0.0,0.0,0.0,0.0,0.0,1870.33,580.911,0.476808,0.0,0.0,0.0,1828.68,746.613,0.591542,1812.21,742.776,0.605936,1820.45,746.576,0.747047,1870.11,746.957,0.606604,1870.24,746.843,0.646719,1861.92,746.791,0.768898
